Spanish,Hebrew
hola,שלום
adiós,להתראות
gracias,תודה
por favor,בבקשה
sí,כן
no,לא
buenos días,בוקר טוב
buenas noches,לילה טוב
buenas tardes,צהריים טובים
perdón,סליחה
lo siento,אני מצטער
de nada,על לא דבר
¿cómo estás?,מה שלומך?
muy bien,טוב מאוד
¿y tú?,ואתה?
bienvenido,ברוך הבא
¿qué tal?,מה נשמע?
hasta luego,נתראה אחר כך
nos vemos,נתראה
hasta mañana,נתראה מחר
te quiero,אני אוהב אותך
te amo,אני אוהב אותך (עמוק)
amigo,חבר
amiga,חברה
familia,משפחה
hermano,אח
hermana,אחות
padre,אבא
madre,אמא
hijo,בן
hija,בת
abuelo,סבא
abuela,סבתא
casa,בית
trabajo,עבודה
escuela,בית ספר
dinero,כסף
comida,אוכל
agua,מים
café,קפה
té,תה
pan,לחם
carne,בשר
pescado,דג
pollo,עוף
fruta,פרי
verdura,ירק
vino,יין
cerveza,בירה
salud,לחיים / בריאות
feliz,שמח
triste,עצוב
cansado,עייף
rápido,מהיר
lento,איטי
grande,גדול
pequeño,קטן
nuevo,חדש
viejo,ישן
caliente,חם
frío,קר
abrir,לפתוח
cerrar,לסגור
entrar,להיכנס
salir,לצאת
venir,לבוא
ir,ללכת
caminar,ללכת ברגל
correr,לרוץ
viajar,לטייל
conducir,לנהוג
coche,מכונית
autobús,אוטובוס
tren,רכבת
avión,מטוס
ciudad,עיר
pueblo,עיירה
calle,רחוב
parque,פארק
tienda,חנות
mercado,שוק
dinero en efectivo,מזומן
tarjeta,כרטיס
precio,מחיר
barato,זול
caro,יקר
comprar,לקנות
vender,למכור
abrigo,מעיל
camisa,חולצה
pantalón,מכנסיים
zapatos,נעליים
sombrero,כובע
bolsa,תיק
móvil,טלפון נייד
ordenador,מחשב
internet,אינטרנט
email,אימייל
clave,סיסמה
foto,תמונה
música,מוזיקה
película,סרט
libro,ספר
revista,מגזין
periódico,עיתון
jugar,לשחק
leer,לקרוא
escribir,לכתוב
hablar,לדבר
escuchar,להקשיב
ver,לראות
mirar,להביט
sentir,להרגיש
pensar,לחשוב
creer,להאמין
saber,לדעת
conocer,להכיר
querer,לרצות
poder,להיות מסוגל
tener,יש
necesitar,להצטרך
usar,להשתמש
ayudar,לעזור
esperar,לחכות
llamar,להתקשר
preguntar,לשאול
responder,לענות
empezar,להתחיל
terminar,לסיים
abrir la puerta,לפתוח את הדלת
cerrar la ventana,לסגור את החלון
encender,להדליק
apagar,לכבות
levantarse,לקום
sentarse,לשבת
dormir,לישון
despertar,להתעורר
baño,שירותים / אמבטיה
ducha,מקלחת
jabón,סבון
toalla,מגבת
cepillo de dientes,מברשת שיניים
pasta de dientes,משחת שיניים
mano,יד
pierna,רגל
cabeza,ראש
ojo,עין
oreja,אוזן
boca,פה
nariz,אף
corazón,לב
doctor,רופא
hospital,בית חולים
medicina,תרופה
farmacia,בית מרקחת
urgencia,מקרה חירום
policía,משטרה
ayuda,עזרה
peligro,סכנה
calle derecha,רחוב ימינה
calle izquierda,רחוב שמאלה
aquí,כאן
allí,שם
arriba,למעלה
abajo,למטה
cerca,קרוב
lejos,רחוק
dentro,בפנים
fuera,בחוץ
ayer,אתמול
hoy,היום
mañana,מחר
ahora,עכשיו
pronto,בקרוב
siempre,תמיד
nunca,לעולם לא
a veces,לפעמים
antes,לפני
después,אחרי
primero,ראשון
último,אחרון
uno,אחד
dos,שתיים
tres,שלוש
cuatro,ארבע
cinco,חמש
seis,שש
siete,שבע
ocho,שמונה
nueve,תשע
diez,עשר
cien,מאה
mil,אלף
¿cuánto cuesta?,כמה זה עולה?
¿qué hora es?,מה השעה?
¿dónde está el baño?,איפה השירותים?
¿puede ayudarme?,אתה יכול לעזור לי?
¿habla inglés?,אתה מדבר אנגלית?
¿qué significa?,מה זה אומר?
me gusta,אני אוהב
no me gusta,אני לא אוהב
tengo hambre,אני רעב
tengo sed,אני צמא
tengo frío,קר לי
tengo calor,חם לי
buen provecho,בתיאבון
feliz cumpleaños,יום הולדת שמח
feliz navidad,חג מולד שמח
año nuevo,שנה חדשה